"geo_label_citystate","strata_race_label","strata_sex_label","All Cancer Deaths","Lung Cancer Deaths","Colorectal Cancer Deaths","Cardiovascular Disease Deaths","Heart Disease Deaths","Diabetes Deaths","Deaths from All Causes","Premature Death","Life Expectancy","Gun Deaths (Firearms)","Injury Deaths","Motor Vehicle Deaths","Homicides","Pneumonia or Influenza Deaths","HIV-Related Deaths","COVID-19 Deaths","Opioid Overdose Deaths","Suicide","Drug Overdose Deaths"
"Long Beach, CA","Hispanic","Male",148.6305973,15.05247861,18.9841018,245.0712264,187.5095086,43.60885501,814.4758561,6747.553239,77.80041478,8.618069483,89.83486468,23.47843901,9.33396052,0,0,0,25.03847718,6.625159815,36.35296796
"San Jose, CA","Asian/PI","Female",74.86500883,13.58288014,6.41336891,106.3329246,51.36238055,14.63364686,325.6026958,1687.438593,89.45807841,0,16.44958117,2.706293288,0,4.648277251,0,8.720832359,0,4.503630712,4.01557996
"Oakland, CA","Hispanic","Male",96.30093476,0,0,140.3241035,104.8452813,18.82628377,575.931616,7007.875176,84.35015761,30.96799817,113.9219918,15.92032747,33.69791772,0,0,0,26.29863768,0,33.47875689
"Boston, MA","Hispanic","Male",116.433234,13.99271862,0,146.1464471,105.8296467,22.34879669,691.5492665,8303.050986,78.35975858,7.924748028,141.4295026,12.42327357,9.501636497,0,0,0,84.2020119,0,98.29447658
"Memphis, TN","Hispanic","Male",82.88132567,0,0,115.8099646,59.75473693,0,941.9876264,16265.87284,0,60.6765194,261.3698879,57.84248858,56.27804896,0,0,0,88.07236574,22.99192972,95.5836149
"Houston, TX","Asian/PI","Female",115.6841288,17.72184994,12.0672112,116.6820033,78.98919582,14.13326484,455.2201788,3507.333564,86.42472019,0,22.5617936,0,0,11.09384966,0,0,0,5.190109608,0
"Milwaukee, WI","Hispanic","Male",151.7005177,34.491496,0,210.0574522,161.8265975,26.07905068,911.1780706,10584.79732,74.25313263,29.58831907,211.1736336,28.26262351,27.34052603,0,0,0,94.22694364,10.07589995,108.1082637
"Tucson, AZ","Asian/PI","Male",116.2737451,0,0,103.5194803,77.88408731,0,596.7246378,8246.554049,0,0,98.91217371,0,0,0,0,0,0,0,0
"Chicago, IL","Asian/PI","Male",97.10861784,27.71280826,10.20225992,145.9755466,107.2653795,19.03492665,460.0323699,3535.438143,83.02401536,0,32.47487051,0,0,7.882251651,0,0,6.212189428,7.982439517,7.257416364
"Columbus, OH","Asian/PI","Male",124.2330133,0,0,146.5217158,110.5685445,0,539.6158783,3164.121081,0,0,62.72619952,0,0,0,0,0,0,0,0
